name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Little India,"Indian, Fast Food",3.2,-37.8104994,144.9625276,Fast food,normal,"Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$17.50 ,Little India
Dear Fry Day,"Chinese, Asian",3.3,-37.80929338,144.9635304,Fast food,normal,"395A Swanston Street, CBD, Melbourne",$15.00 ,Dear Fry Day
Curry Bowl,Indian,4,-37.81028803,144.9694256,Fast food,normal,"101 Lonsdale Street, CBD, Melbourne",$17.50 ,Curry Bowl
Flemington Kebab House,"Kebab, Turkish",4.3,-37.78844014,144.9308752,Fast food,normal,"301 Racecourse Road, Flemington, Melbourne",$15.00 ,Flemington Kebab House
Dosa Corner,"Indian, South Indian",3.2,-37.81611973,144.9554613,Fast food,normal,"171 King Street, CBD, Melbourne",$17.50 ,Dosa Corner
Queen's Kebabs,"Kebab, Fast Food",3.9,-37.81961106,144.9574126,Fast food,normal,"26 King Street, CBD",$15.00 ,Queen's Kebabs
Egg Sake Bistro,"Asian, Japanese",4,-37.79701672,144.9612522,Fast food,normal,"University of Melbourne, Basement, Union House, Parkville, Melbourne",$15.00 ,Egg Sake Bistro
Crave Pizza & Fresh Pasta Bar,"Pizza, Italian",4.1,-37.8437622,144.9957659,Fast food,normal,"5-7 Wilson Street, South Yarra, Melbourne",$20.00 ,Crave Pizza & Fresh Pasta Bar
Two Peck Crispy Chicken,Taiwanese,3.4,-37.81248706,144.9673583,Fast food,normal,"Midcity Arcade, Ground Level, Shop 18, 200 Bourke Street, CBD, Melbourne",$12.50 ,Two Peck Crispy Chicken
Pop Me Fatale,Desserts,3.8,-37.81543294,144.9534386,Fast food,normal,"14 Watertank Way, Lonsdale Street, CBD, Melbourne",$12.50 ,Pop Me Fatale
King Jon's Souvlaki,"Fast Food, Greek",3.4,-37.81585937,144.9553772,Fast food,normal,"185 King Street, CBD, Melbourne",$17.50 ,King Jon's Souvlaki
Taco Bell,"Mexican, Fast Food",2.9,-37.84665124,144.9942967,Fast food,normal,"352 Chapel Street, South Yarra, Melbourne",$15.00 ,Taco Bell
The Kensington Fish Shop,"Fast Food, Fish and Chips",4,-37.79446353,144.9293725,Fast food,normal,"503 Macaulay Road, Kensington, Melbourne",$12.50 ,The Kensington Fish Shop
Momo Sushi,Sushi,4.1,-37.80107137,144.964037,Fast food,normal,"660 Swanston Street, Carlton, Melbourne",$10.00 ,Momo Sushi
Old Salt Fish & Chips,Fish and Chips,4.1,-37.83817867,144.942873,Fast food,normal,"246 Bay Street, Port Melbourne, Melbourne",$15.00 ,Old Salt Fish & Chips
Persian Grill,"Kebab, Iranian",3.1,-37.81724141,144.9646999,Fast food,normal,"36 Elizabeth Street, CBD, Melbourne",$20.00 ,Persian Grill
Hungry Jack's,"Fast Food, Burger",2.9,-37.81014658,144.9628314,Fast food,normal,"Melbourne Central, Lower Ground Level, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$15.00 ,Hungry Jack's
KFC,"Fast Food, Fried Chicken",2.8,-37.81307905,144.9674558,Fast food,normal,"201 Bourke Street, CBD, Melbourne",$17.50 ,KFC
Carl's Junior,"Burger, American",2.8,-37.81179546,144.9368602,Fast food,normal,"The District, Ground Floor, 440 Docklands Drive, Docklands, Melbourne",$20.00 ,Carl's Junior
Pronto Pizza,"Pizza, Fast Food",3.5,-37.79723237,144.9613149,Fast food,normal,"University of Melbourne, Union House, Parkville, Melbourne",$12.50 ,Pronto Pizza
Lucky's Pizzeria,"Italian, Pizza",4.1,-37.78260175,144.9728826,Fast food,normal,"923 Rathdowne Street, Carlton North, Melbourne",$20.00 ,Lucky's Pizzeria
