name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one,names
Nitro Lab,"Desserts, Ice Cream",3.4,-37.81281073,144.9676959,Desserts,normal,"188 Bourke Street, CBD, Melbourne",$10.00 ,Nitro Lab
Moonshine Cake,Desserts,3.8,-37.81500439,144.9641118,Desserts,normal,"318 Little Collins Street, CBD, Melbourne",$15.00 ,Moonshine Cake
Maxims Cakes and Pastry,"Bakery, Desserts",4.2,-37.81197876,144.9673472,Desserts,normal,"173 Little Bourke Street, CBD, Melbourne",$7.50 ,Maxims Cakes and Pastry
Walker's Doughnuts,"American, Desserts",4.1,-37.81803228,144.965133,Desserts,normal,"2/26 Elizabeth Street, CBD, Melbourne",$15.00 ,Walker's Doughnuts
American Doughnut Kitchen,Desserts,4.5,-37.80746485,144.9582579,Desserts,normal,"Queen Victoria Market, Shed H and I, Queen Street, CBD, Melbourne",$5.00 ,American Doughnut Kitchen
Lukumades,"Bakery, Desserts",4.2,-37.80632606,144.9556823,Desserts,normal,"83 Peel Street, West Melbourne, Melbourne",$15.00 ,Lukumades
Keki Milkbar,"Desserts, Beverages",3.9,-37.814026,144.960783,Desserts,normal,"190 Queen Street, CBD, Melbourne",$15.00 ,Keki Milkbar
Yo-Chi Frozen Yogurt,"Frozen Yogurt, Desserts, Healthy Food",4.5,-37.79865132,144.9679966,Desserts,normal,"194 Faraday Street, Carlton, Melbourne",$15.00 ,Yo-Chi Frozen Yogurt
The French Lettuce Patisserie & Bakery,"Desserts, Bakery, Cafe Food",4.3,-37.79444658,144.9753315,Desserts,normal,"237 Nicholson Street, Carlton, Melbourne",$10.00 ,The French Lettuce Patisserie & Bakery
Happy Lemon -  Swanston Street,"Bubble Tea, Beverages, Desserts",3.9,-37.81598174,144.966673,Desserts,normal,"77 Swanston Street, CBD, Melbourne",$7.50 ,Happy Lemon -  Swanston Street
Doughnut Time,Desserts,3.1,-37.81771021,144.9659256,Desserts,normal,"5 Degraves Street, CBD, Melbourne",$12.50 ,Doughnut Time
Fresh Air & Pancake,"Desserts, Ice Cream",3.6,-37.811648,144.96167,Desserts,normal,"299, Elizabeth Street, CBD, Melbourne",$15.00 ,Fresh Air & Pancake
Top Tea,"Bubble Tea, Beverages, Desserts",4.1,-37.81228893,144.9651565,Desserts,normal,"242 Swanston Street, CBD, Melbourne",$7.50 ,Top Tea
PAFU,"Bakery, Desserts, Japanese",3.9,-37.81059794,144.9656078,Desserts,normal,"QV Centre, Level 1, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne",$10.00 ,PAFU
Dolcetti,"Bakery, Desserts",4.3,-37.80580898,144.9540659,Desserts,normal,"223 Victoria Street, West Melbourne, Melbourne",$10.00 ,Dolcetti
Plantation,"Coffee and Tea, Desserts",4.1,-37.81020432,144.9631063,Desserts,normal,"Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$10.00 ,Plantation
Kurimu,"Japanese, Desserts",4,-37.81028273,144.9628656,Desserts,normal,"Melbourne Central, Lower Ground Level, Corner of Swanston Street and La Trobe Street, CBD, Melbourne",$7.50 ,Kurimu
Tutto,"Juices, Beverages, Desserts, Frozen Yogurt",4.1,-37.80081996,144.9666424,Desserts,normal,"81 Grattan Street, Carlton, Melbourne",$12.50 ,Tutto
The Souffle,Desserts,2.8,-37.81159495,144.9612653,Desserts,normal,"365 Little Lonsdale Street, CBD, Melbourne",$17.50 ,The Souffle
Afternoon Tea At The Windsor,Desserts,4.1,-37.8121247,144.9731411,Desserts,normal,"Hotel Windsor, 111 Spring Street, CBD, Melbourne",$70.00 ,Afternoon Tea At The Windsor
Choix Creperie Caf¨¦,"French, Cafe Food, Crepes, Desserts, Coffee and Tea",4.1,-37.81874897,144.9545638,Desserts,normal,"620 Collins Street, CBD, Melbourne",$20.00 ,Choix Creperie Caf¨¦
May Yu Dessert,Desserts,4,-37.81572058,144.9541232,Desserts,normal,"11 Rose Lane, CBD, Melbourne",$25.00 ,May Yu Dessert
Hokkaido Baked Cheese Tart - QV,"Bakery, Desserts",4.1,-37.81066919,144.9651297,Desserts,normal,"QV Centre, Level 2, 22 Red Cape Lane, CBD, Melbourne",$5.00 ,Hokkaido Baked Cheese Tart - QV
Rainbow Toastie,"Desserts, Korean, Cafe Food",3.2,-37.81123471,144.9609062,Desserts,normal,"18 Sutherland Street, CBD, Melbourne",$15.00 ,Rainbow Toastie
Egg Station,"Bubble Tea, Cafe Food, Desserts, Ice Cream",4.1,-37.83906701,144.9927175,Desserts,normal,"175 Toorak Road, South Yarra, Melbourne",$15.00 ,Egg Station
