name,cuisine,overall_rating,latitude,longitude,feature,type
Rooftop Bar and Cinema,Bar Food,4.5,-37.81202538,144.9652678,Outdoor,normal
Arbory Bar and Eatery,Modern Australian,4.3,-37.81917062,144.9659276,Outdoor,normal
Siglo,"Bar Food, Modern Australian",4.3,-37.81092825,144.9726493,Outdoor,normal
Loop Roof,"Contemporary, Bar Food",3.8,-37.81217556,144.9722479,Outdoor,normal
The Rooftop at QT,Bar Food,3.9,-37.81336246,144.968121,Outdoor,normal
Riverland,"Modern Australian, Bar Food",4,-37.81879055,144.9687839,Outdoor,normal
Dodee Paidang,Thai,4.6,-37.81575952,144.9631257,Outdoor,normal
The Emerald Peacock,Bar Food,4,-37.81144079,144.9656249,Outdoor,normal
The Imperial Hotel,"Pizza, Pub Food",3.9,-37.81134994,144.9728722,Outdoor,normal
Miznon,"Israeli, Mediterranean, Middle Eastern",4.5,-37.81345464,144.9611097,Outdoor,normal
The Boatbuilders Yard,"Bar Food, Modern Australian",3.9,-37.82417349,144.953169,Outdoor,normal
Whitehart,Bar Food,3.7,-37.81295456,144.9619472,Outdoor,normal
Beer DeLuxe,"Bar Food, Pizza, Burger",3.6,-37.81765936,144.9695479,Outdoor,normal
The Red Hummingbird,Modern Australian,3.7,-37.81054364,144.9671853,Outdoor,normal
Cookie,Thai,4.4,-37.81204683,144.965183,Outdoor,normal
San Telmo,Steak,4.6,-37.81229608,144.9723887,Outdoor,normal
Cumulus Inc.,"Modern European, Contemporary",4.7,-37.81479435,144.9731357,Outdoor,normal
The Duke of Wellington,"Modern Australian, Bar Food",3,-37.81654987,144.970015,Outdoor,normal
Saint & Rogue,"Pub Food, Modern Australian",4.1,-37.81752587,144.9553856,Outdoor,normal
Chuckle Park Bar,Bar Food,4.4,-37.81508305,144.9640581,Outdoor,normal
Namsan (Goodovening),"Korean, Fried Chicken",4.3,-37.81378758,144.9607587,Outdoor,normal
Transit Rooftop Bar,Bar Food,3.7,-37.81837209,144.9686628,Outdoor,normal
Punch Lane,"Mediterranean, Modern Australian",4.8,-37.8108117,144.9713501,Outdoor,normal
Hopscotch,"Modern Australian, Bar Food",3.5,-37.82073057,144.9635277,Outdoor,normal
Lane's Edge,"Mediterranean, Modern Australian",4.1,-37.8118781,144.9721095,Outdoor,normal
MoVida Aqui,"Spanish, Tapas",4.5,-37.81474641,144.958635,Outdoor,normal
Jang Gun,"Korean, Hot Pot",4.4,-37.81356138,144.9558774,Outdoor,normal
Good Heavens,Bar Food,3.4,-37.81212365,144.9711043,Outdoor,normal
Soho Melbourne,"Italian, Pizza, Bar Food",3.2,-37.82080447,144.9632615,Outdoor,normal
Touche Hombre,"Latin American, Mexican",4,-37.81146198,144.9654589,Outdoor,normal
11 Inch Pizza,Pizza,4.5,-37.81567423,144.9630744,Outdoor,normal
Ying Thai 2,Thai,4.4,-37.80448129,144.9664648,Outdoor,normal
Father's Office,"American, Burger",4.1,-37.8105402,144.9647233,Outdoor,normal
Pilgrim,"Modern Australian, Bar Food",3.6,-37.81874871,144.969387,Outdoor,normal
Boilermaker House,"Bar Food, American",4.4,-37.81126306,144.9662022,Outdoor,normal
