name,cuisine,overall_rating,latitude,longitude,feature,type
Killiney Kopitiam Bourke Street,"Asian, Malaysian",3.5,-37.81216523,144.9701789,Asian,normal
Dolan Uyghur Food Heaven,"Asian, Uyghur",4,-37.8097519,144.9670384,Asian,normal
Red Emperor,"Asian, Chinese, Yum Cha",4.2,-37.8201834,144.966457,Asian,normal
Rock Sugar,"Fusion, Asian, Thai",4.2,-37.84791145,145.0023738,Asian,normal
Hana's Kitchen,Asian,3.8,-37.81334074,144.9623751,Asian,normal
D House Cafe,"Asian, Chinese",3.7,-37.81086017,144.9642908,Asian,normal
Quanjude,"Chinese, Asian, Seafood",3.8,-37.8113261,144.9588741,Asian,normal
Nasi Lemak House,"Malaysian, Asian",4.1,-37.80070473,144.9656933,Asian,normal
Busan,"Korean, Asian, Hot Pot",3.8,-37.81467436,144.9603859,Asian,normal
China Chilli,"Chinese, Asian, Hot Pot, Dumplings, Sichuan",3.9,-37.81274769,144.9669361,Asian,normal
David's Spicy Pot - Russell Street,"Malatang, Chinese, Asian",4.3,-37.81239912,144.9680422,Asian,normal
Killiney Kopitiam,"Asian, Singaporean, Malaysian",3.9,-37.80438778,144.9664748,Asian,normal
Annam,"Asian, Vietnamese",3.8,-37.81086732,144.9707958,Asian,normal
Westlake,"Chinese, Yum Cha, Asian",3.7,-37.81208683,144.966905,Asian,normal
Wagyu Fun,Asian,3.9,-37.81390969,144.9668473,Asian,normal
Peaches,"Bar Food, Asian, American",3.4,-37.81112373,144.9643562,Asian,normal
Ilza Cafe,"Japanese, Coffee and Tea, Asian",4.1,-37.81517708,144.9479609,Asian,normal
Cooking Corner,"Chinese, Asian",4,-37.81502187,144.9563397,Asian,normal
