name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Yo-Chi Frozen Yogurt,"Frozen Yogurt, Desserts, Healthy Food",4.5,Carlton,"194 Faraday Street, Carlton, Melbourne",Carlton,-37.79865132,144.9679966,$15.00 ,Desserts
The French Lettuce Patisserie & Bakery,"Desserts, Bakery, Cafe Food",4.3,Carlton,"237 Nicholson Street, Carlton, Melbourne",Carlton,-37.79444658,144.9753315,$10.00 ,Desserts
Happy Lemon -  Swanston Street,"Bubble Tea, Beverages, Desserts",3.9,CBD,"77 Swanston Street, CBD, Melbourne",CBD,-37.81598174,144.966673,$7.50 ,Desserts
Koko Black,"Coffee and Tea, Desserts",4.4,Carlton,"167 Lygon Street, Carlton, Melbourne",Carlton,-37.8018285,144.9665687,$12.50 ,Desserts
Doughnut Time,Desserts,3.1,CBD,"5 Degraves Street, CBD, Melbourne",CBD,-37.81771021,144.9659256,$12.50 ,Desserts
Fresh Air & Pancake,"Desserts, Ice Cream",3.6,CBD,"299, Elizabeth Street, CBD, Melbourne",CBD,-37.811648,144.96167,$15.00 ,Desserts
Top Tea,"Bubble Tea, Beverages, Desserts",4.1,CBD,"242 Swanston Street, CBD, Melbourne",CBD,-37.81228893,144.9651565,$7.50 ,Desserts
PAFU,"Bakery, Desserts, Japanese",3.9,"QV Centre, CBD","QV Centre, Level 1, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne","QV Centre, CBD",-37.81059794,144.9656078,$10.00 ,Desserts
Dolcetti,"Bakery, Desserts",4.3,West Melbourne,"223 Victoria Street, West Melbourne, Melbourne",West Melbourne,-37.80580898,144.9540659,$10.00 ,Desserts
La Belle Miette,"Desserts, French, Coffee and Tea",4.2,CBD,"8 Collins Street, CBD, Melbourne",CBD,-37.81338577,144.9733171,$10.00 ,Desserts
Plantation,"Coffee and Tea, Desserts",4.1,"Melbourne Central, CBD","Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81020432,144.9631063,$10.00 ,Desserts
