name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Hanabishi Japanese,Japanese,4.5,CBD,"187 King Street, CBD, Melbourne",CBD,-37.81581646,144.9553185,$100.00 ,Japanese
Akaiito,Japanese,4,CBD,"349-351 Flinders Lane, CBD, Melbourne",CBD,-37.81778967,144.9628223,$125.00 ,Japanese
Hakata Gensuke Chicken Ramen,"Japanese, Ramen",4.3,"QV Centre, CBD","QV Centre, 200 Lonsdale Street, CBD, Melbourne","QV Centre, CBD",-37.81096109,144.9661338,$25.00 ,Japanese
Wagyu Ya,"Japanese, Steak, Japanese BBQ",4.7,South Yarra,"156 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83907098,144.991419,$75.00 ,Japanese
Sake Restaurant & Bar,"Japanese, Sushi",4.2,Southbank,"Southbank Promenade, Hamer Hall, 100 St Kilda Road, Southbank, Melbourne",Southbank,-37.81981606,144.9679205,$65.00 ,Japanese
Ikkoryu Fukuoka Ramen,"Japanese, Ramen",3.9,CBD,"27 Russell Street, CBD, Melbourne",CBD,-37.81601696,144.9694041,$25.00 ,Japanese
DonDon,Japanese,4.3,CBD,"330 Little Lonsdale Street, CBD, Melbourne",CBD,-37.81183917,144.959892,$15.00 ,Japanese
Akachochin,"Japanese, Sushi",4.4,"DFO South Wharf, South Wharf","DFO South Wharf, 33 Dukes Walk, South Wharf, Melbourne","DFO South Wharf, South Wharf",-37.82430379,144.9516036,$60.00 ,Japanese
Gyoza Gyoza - Little Bourke,"Japanese, Dumplings",4.2,CBD,"115-117 Little Bourke Street, CBD, Melbourne",CBD,-37.81147469,144.9690242,$25.00 ,Japanese
Shinbashi Yakiniku,"Japanese, Asian, Japanese BBQ",4.1,Carlton,"294 Lygon Street, Carlton, Melbourne",Carlton,-37.80004773,144.9672329,$40.00 ,Japanese
Taketori,Japanese,4,CBD,"Shop 1/269 King Street, CBD",CBD,-37.81387764,144.9544605,$45.00 ,Japanese
Unabara Lobster & Oyster Bar,"Japanese, Seafood",4.1,"Melbourne Central, CBD","Melbourne Central, Level 1, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81023267,144.9630553,$35.00 ,Japanese
Akita Japanese,"Japanese, Sushi",4.4,North Melbourne,"Courtney Street and Blackwood Street, North Melbourne, Melbourne",North Melbourne,-37.80204944,144.9543204,$30.00 ,Japanese
Yami Yami - Lonsdale Street,"Japanese, Korean",4.1,CBD,"398 Lonsdale Street, CBD, Melbourne",CBD,-37.81265181,144.9605773,$40.00 ,Japanese
Udon Yasan,Japanese,4,CBD,"186 Bourke Street, CBD, Melbourne",CBD,-37.81277233,144.9677619,$20.00 ,Japanese
Momo Sukiyaki & Shabu Shabu,Japanese,3.8,CBD,"117 Little Bourke Street, CBD, Melbourne",CBD,-37.81150092,144.9689807,$40.00 ,Japanese
Gyoza Douraku,Japanese,4.1,CBD,"147 Bourke Street, CBD, Melbourne",CBD,-37.81263406,144.9689823,$25.00 ,Japanese
Hanaichi,"Japanese, Fast Food",4.3,"QV Centre, CBD","QV Centre, Level 2, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne","QV Centre, CBD",-37.81043212,144.9656561,$17.50 ,Japanese
Menya Ramen - Elizabeth Street,"Japanese, Ramen",3.8,CBD,"437 Elizabeth Street, CBD, Melbourne",CBD,-37.80874983,144.9604449,$25.00 ,Japanese
Mr. Fusion Modern Japanese,Japanese,4,CBD,"Shop 2-3, 540 Little Collins Street, CBD, Melbourne",CBD,-37.81704409,144.9568856,$20.00 ,Japanese
Mochi Moments,Japanese,4.1,Emporium Melbourne,"Emporium Melbourne, Lower Ground, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81278027,144.9638798,$10.00 ,Japanese
Sakura Kaiten Sushi II,"Japanese, Sushi",4.1,CBD,"282 Lonsdale Street, CBD, Melbourne",CBD,-37.81169454,144.9639572,$35.00 ,Japanese
Coppe Pan Japanese Bakery,"Bakery, Japanese",4.1,"Melbourne Central, CBD","Melbourne Central, Lower Ground, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81006738,144.9625025,$15.00 ,Japanese
Gyoza Gyoza - Emporium,"Asian, Japanese",4.2,Emporium Melbourne,"Emporium Melbourne, Level 1, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.8127167,144.9639743,$25.00 ,Japanese
Robot Bar,Japanese,4.2,CBD,"12 Bligh Place, CBD, Melbourne",CBD,-37.81708965,144.9637031,$35.00 ,Japanese
Cafe Lafayette,"Cafe Food, Coffee and Tea, Japanese",4,CBD,"30 Niagara Lane, CBD, Melbourne",CBD,-37.81286477,144.9613729,$25.00 ,Japanese
Namoo,"Japanese, Korean",4.1,CBD,"Shop 1/167 Queen Street, CBD, Melbourne",CBD,-37.81485739,144.9604848,$40.00 ,Japanese
Tsuru Japanese Restaurant,"Japanese, Fusion",4,CBD,"Shop 1/27 Little Collins Street, CBD, Melbourne",CBD,-37.81265525,144.9726204,$50.00 ,Japanese
Don Tojo,"Japanese, Asian",4.3,Carlton,"164 Cardigan Street, Carlton, Melbourne",Carlton,-37.80138927,144.9654988,$15.00 ,Japanese
Gaijin Japanese Fusion,"Japanese, Sushi",4.2,South Yarra,"135 Commercial Road, South Yarra, Melbourne",South Yarra,-37.84638861,144.9910251,$40.00 ,Japanese
Sushi Boto,Japanese,3.2,"St Collins Lane, CBD","St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne","St Collins Lane, CBD",-37.81513947,144.9649332,$30.00 ,Japanese
Sushi Jiro - QV,"Japanese, Sushi",4,"QV Centre, CBD","QV Centre, Level 2, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne","QV Centre, CBD",-37.81056562,144.9659323,$15.00 ,Japanese
Sushi & Nori,"Sushi, Japanese",4.1,Emporium Melbourne,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.8121896,144.9639317,$20.00 ,Japanese
Rice Workshop,Japanese,4.1,Emporium Melbourne,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81251116,144.963462,$20.00 ,Japanese
Parco Project x Shujinko,"Japanese, Italian",3.9,CBD,"427 Elizabeth Street, CBD, Melbourne",CBD,-37.8089689,144.9605877,$25.00 ,Japanese
Hakata Gensuke Yatai Ramen,"Ramen, Japanese",4.2,Carlton,"126 Lygon Street, Carlton, Melbourne",Carlton,-37.80409559,144.9665201,$25.00 ,Japanese
