name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Pretty Boy Italian Steakhouse & Floyd's Bar,"Steak, Italian",4,"Novotel, Melbourne","The Novotel, Level 1/399, Little Lonsdale Street, CBD, Melbourne","Novotel, Melbourne",-37.81208603,144.9601887,$72.50 ,Italian
Il Cantuccio,Italian,4.4,Carlton,"209 Lygon Street, Carlton, Melbourne",Carlton,-37.80046286,144.9668594,$55.00 ,Italian
Trinket,"Italian, Bar Food",3.8,CBD,"87 Flinders Lane, CBD, Melbourne",CBD,-37.81524647,144.9713259,$65.00 ,Italian
Criniti's,Italian,2.3,"Freshwater Place, Southbank","645 Freshwater Place, Southbank, Melbourne","Freshwater Place, Southbank",-37.82134051,144.9624267,$60.00 ,Italian
Scugnizzo,Italian,4.1,CBD,"558 Little Bourke St, CBD",CBD,-37.81507458,144.9558492,$60.00 ,Italian
Merchant Osteria Veneta,Italian,4.2,"Intercontinental Melbourne, The Rialto","Intercontinental Melbourne - The Rialto, 495 Collins Street, CBD, Melbourne","Intercontinental Melbourne, The Rialto",-37.81867269,144.9579779,$62.50 ,Italian
Fratellino Pizzeria,"Pizza, Italian",4.5,South Yarra,"415 Malvern Road, South Yarra, Melbourne",South Yarra,-37.84766232,145.0005171,$40.00 ,Italian
Pacinos Italian Family Restaurant,"Italian, Pizza, Steak",4.4,"Showgrounds Village, Flemington","Showgrounds Village, Shop 28, 300-320 Epsom Road, Flemington, Melbourne","Showgrounds Village, Flemington",-37.7826574,144.9164821,$35.00 ,Italian
Cafe Cavallino,"Italian, Mediterranean, Pizza",3.9,Carlton,"181 Lygon Street, Carlton, Melbourne",Carlton,-37.80139086,144.9666676,$40.00 ,Italian
Rosa's Canteen,Italian,4,The Court,"The Court, Level 1, Corner of Little Bourke & Thomson Street, Little Bourke Street, CBD, Melbourne",The Court,-37.814699,144.9587601,$72.50 ,Italian
Mezzo,Italian,4,CBD,"35 Little Bourke Street, CBD, Melbourne",CBD,-37.81066919,144.9717417,$55.00 ,Italian
Seasons Provedore,Italian,4.1,Carlton,"199 Lygon Street, Carlton, Melbourne",Carlton,-37.80098501,144.9667581,$37.50 ,Italian
Sosta Cucina,"Italian, Mediterranean, European",4.4,North Melbourne,"12, Errol Street, North Melbourne, Melbourne",North Melbourne,-37.80481216,144.9494716,$50.00 ,Italian
Trotters Bistro,"Italian, Cafe Food",4.2,Carlton,"398-400 Lygon Street, Carlton, Melbourne",Carlton,-37.7976136,144.9676402,$40.00 ,Italian
Gemma Simply Italian,"Italian, Pizza",4.3,Carlton,"183 Elgin Street, Carlton, Melbourne",Carlton,-37.7973757,144.9684405,$40.00 ,Italian
Etto Pasta Bar,"Italian, Pizza",3.2,CBD,"St James Place, Shop 6, 555 Bourke Street, CBD, Melbourne",CBD,-37.81638486,144.9579471,$25.00 ,Italian
Da Noi,"Italian, Mediterranean",4.6,South Yarra,"95 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83864998,144.9896585,$60.00 ,Italian
Emporio Pizza and Pasta,"Italian, Pizza",3.9,"Crown Melbourne, Southbank","Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82445315,144.9573989,$45.00 ,Italian
SUD Food And Wine,Italian,4.3,CBD,"219 King Street, CBD, Melbourne",CBD,-37.81509232,144.9549571,$500.00 ,Italian
Amiconi,"Italian, Mediterranean",4.3,West Melbourne,"359 Victoria Street, West Melbourne, Melbourne",West Melbourne,-37.80531786,144.9495983,$55.00 ,Italian
A25 Pizzeria - South Yarra,"Italian, Pizza",4.3,South Yarra,"720 Chapel Street, South Yarra, Melbourne",South Yarra,-37.83661299,144.9964089,$40.00 ,Italian
Cucinetta,Italian,4.2,South Yarra,"Shop 4, 3 Murphy Street, South Yarra, Melbourne",South Yarra,-37.83835475,144.9902134,$40.00 ,Italian
