name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Jang Gun,"Korean, Hot Pot",4.4,CBD,"3/21 Healeys Lane, CBD",CBD,-37.81356138,144.9558774,$32.50 ,Outdoor
DOC Pizza & Mozzarella Bar - Carlton,"Italian, Pizza",4.6,Carlton,"295 Drummond Street, Carlton, Melbourne",Carlton,-37.79896208,144.968573,$35.00 ,Outdoor
Good Heavens,Bar Food,3.4,CBD,"Level 2, 79 Bourke Street, CBD, Melbourne",CBD,-37.81212365,144.9711043,$35.00 ,Outdoor
Soho Melbourne,"Italian, Pizza, Bar Food",3.2,Southbank,"Shop 2, 4 Southbank Boulevard, Southbank, Melbourne",Southbank,-37.82080447,144.9632615,$45.00 ,Outdoor
Tazio,"Italian, Pizza",4.4,CBD,"91 Flinders Lane, CBD, Melbourne",CBD,-37.81530316,144.9711801,$45.00 ,Outdoor
Meatball & Wine Bar,Italian,4.3,CBD,"135 Flinders Lane, CBD, Melbourne",CBD,-37.8156586,144.9700639,$40.00 ,Outdoor
Mr. Nice Guy,"Thai, Asian, Fusion",4.3,CBD,"10 Healeys Lane, CBD, Melbourne",CBD,-37.81342895,144.9558191,$25.00 ,Outdoor
Touche Hombre,"Latin American, Mexican",4,CBD,"233 Lonsdale Street, CBD, Melbourne",CBD,-37.81146198,144.9654589,$45.00 ,Outdoor
11 Inch Pizza,Pizza,4.5,CBD,"353-359 Littte Collins Street, CBD, Melbourne, Equitable Place, CBD, Melbourne",CBD,-37.81567423,144.9630744,$25.00 ,Outdoor
Father's Office,"American, Burger",4.1,"QV Centre, CBD","QV Centre, 249 Little Lonsdale Street, CBD, Melbourne","QV Centre, CBD",-37.8105402,144.9647233,$55.00 ,Outdoor
Pilgrim,"Modern Australian, Bar Food",3.6,"Federation Square, CBD","Vaults 15-19, Federation Wharf, Federation Square, CBD, Melbourne","Federation Square, CBD",-37.81874871,144.969387,$40.00 ,Outdoor
Boilermaker House,"Bar Food, American",4.4,CBD,"209-211 Lonsdale Street, CBD, Melbourne",CBD,-37.81126306,144.9662022,$40.00 ,Outdoor
