name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Area Four,"Coffee and Tea, Cafe Food",4.2,CBD,"390 Little Bourke Street, CBD, Melbourne",CBD,-37.81371315,144.961101,$20.00 ,Brunch
Rustica,"Cafe Food, Desserts, Coffee and Tea",4.1,"Melbourne Central, CBD","Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, CBD, Melbourne","Melbourne Central, CBD",-37.81137669,144.963567,$30.00 ,Brunch
Brunetti,"Desserts, Coffee and Tea, Cafe Food",4.4,Carlton,"380 Lygon Street, Carlton, Melbourne",Carlton,-37.79826109,144.96772,$45.00 ,Brunch
Cafe Blush,"Cafe Food, Coffee and Tea",3.7,Emporium Melbourne,"Emporium Melbourne, Level 2, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81269869,144.9639633,$37.50 ,Brunch
Henry and the Fox,"Modern Australian, Coffee and Tea",4.1,CBD,"525 Little Collins Street, CBD, Melbourne",CBD,-37.81713812,144.9572946,$50.00 ,Brunch
Two Birds One Stone,"Coffee and Tea, Modern Australian, Cafe Food",4.4,South Yarra,"12 Claremont Street, South Yarra, Melbourne",South Yarra,-37.83802271,144.9939158,$25.00 ,Brunch
Mr Tulk,"Modern Australian, Coffee and Tea, Cafe Food",4.1,CBD,"State Library Victoria, 328 Swanston Street, CBD, Melbourne",CBD,-37.80951509,144.9646871,$17.50 ,Brunch
Third Wave Cafe,"American, BBQ, Cafe Food",4.4,Port Melbourne,"189 Rouse Street, Port Melbourne, Melbourne",Port Melbourne,-37.84171079,144.9385899,$60.00 ,Brunch
Switchboard,"Sandwich, Coffee and Tea, Cafe Food",4.3,CBD,"Manchester Unity Arcade, 220 Collins Street, CBD, Melbourne",CBD,-37.81527826,144.9662361,$15.00 ,Brunch
Sensory Lab - Little Collins,"Desserts, Coffee and Tea, Sandwich",3.7,CBD,"297 Little Collins Street, CBD, Melbourne",CBD,-37.81472919,144.9651314,$15.00 ,Brunch
Naughty Boy,"Coffee and Tea, Cafe Food",4.1,Carlton North,"499 Lygon Street, Princes Hill, Carlton North, Melbourne",Carlton North,-37.78444229,144.9695547,$30.00 ,Brunch
The Bond Store,"Coffee and Tea, Cafe Food",4.3,Southbank,"1 Riverside Quay, Southbank, Melbourne",Southbank,-37.82172904,144.9639824,$22.50 ,Brunch
Le Miel Et La Lune,"Coffee and Tea, Cafe Food",4.3,Carlton,"330 Cardigan Street, Carlton, Melbourne",Carlton,-37.79693141,144.9663722,$30.00 ,Brunch
Queen Street Rescue,"Modern Australian, Cafe Food",4.2,CBD,"Shop 1, 189 Queen Street, CBD, Melbourne",CBD,-37.81425057,144.9602028,$47.50 ,Brunch
Left Bank Melbourne,"Modern Australian, European, Pizza",3.8,Southbank,"1 Southbank Boulevard, Southbank, Melbourne",Southbank,-37.82094351,144.962769,$60.00 ,Brunch
The Quarter,"Continental, Coffee and Tea, Cafe Food",4.2,CBD,"27 Degraves Street, CBD, Melbourne",CBD,-37.81705893,144.965646,$40.00 ,Brunch
Entrecote,"French, Steak",4.2,South Yarra,"131-133 Domain Road, South Yarra, Melbourne",South Yarra,-37.83401245,144.9805893,$60.00 ,Brunch
Corner & Bench,"Coffee and Tea, Cafe Food",4.2,CBD,"408 Bourke Street, CBD, Melbourne",CBD,-37.81461901,144.9616311,$25.00 ,Brunch
DOC Espresso,"Coffee and Tea, Cafe Food, Italian",4.2,Carlton,"326 Lygon Street, Carlton, Melbourne",Carlton,-37.7993033,144.9673465,$40.00 ,Brunch
Journal Canteen,"Italian, Coffee and Tea, Cafe Food",4.2,CBD,"City Library, 253 Flinders Lane, CBD, Melbourne",CBD,-37.8169853,144.9658515,$22.50 ,Brunch
Vincent the Dog,"Coffee and Tea, Cafe Food",4.3,Carlton,"348 Drummond Street, Carlton, Melbourne",Carlton,-37.79775772,144.9691332,$20.00 ,Brunch
Abacus.,"Modern Australian, Cafe Food",4.1,South Yarra,"383 Chapel Street, South Yarra, Melbourne",South Yarra,-37.84575637,144.9942253,$27.50 ,Brunch
Ima Project Café,"Japanese, Coffee and Tea",4.1,Carlton,"169 Elgin Street, Carlton, Melbourne",Carlton,-37.79748591,144.9691657,$25.00 ,Brunch
Brother Baba Budan,Coffee and Tea,4.6,CBD,"359 Little Bourke Street, CBD, Melbourne",CBD,-37.81351662,144.9621062,$7.50 ,Café
Le Petit Gateau,"French, Desserts, Coffee and Tea",4.9,CBD,"458 Little Collins Street, CBD, Melbourne",CBD,-37.81634645,144.9596325,$15.00 ,Café
Little Rogue,Coffee and Tea,4.7,CBD,"12 Drewery Lane, CBD, Melbourne",CBD,-37.81102546,144.9640518,$10.00 ,Café
Patricia Coffee Brewers,Coffee and Tea,4.9,CBD,"493-495 Little Bourke Street, CBD, Melbourne",CBD,-37.81471356,144.9582602,$7.50 ,Café
Shortstop Coffee & Donuts,"Desserts, Coffee and Tea",4.6,CBD,"12 Sutherland Street, CBD, Melbourne",CBD,-37.81131762,144.9609662,$10.00 ,Café
Matcha by Chokolait,"Coffee and Tea, Desserts",4.5,CBD,"Shop 8, 318, Little Collins Street, CBD, Melbourne",CBD,-37.81486401,144.9640608,$12.50 ,Café
Dukes Coffee Roasters,"Coffee and Tea, Desserts",4.7,CBD,"247 Flinders Lane, CBD, Melbourne",CBD,-37.81679062,144.9661526,$10.00 ,Café
Koko Black,"Coffee and Tea, Desserts, Sandwich",4.6,CBD,"Royal Arcade, Shop 4, 335 Bourke Street, CBD, Melbourne",CBD,-37.81445505,144.964096,$12.50 ,Café
Mork Chocolate Brew House,Desserts,4.6,North Melbourne,"150 Errol Street, North Melbourne, Melbourne",North Melbourne,-37.80153656,144.9500627,$15.00 ,Café
Saint Dreux,"Japanese, Sandwich, Coffee and Tea",4.1,"St Collins Lane, CBD","St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne","St Collins Lane, CBD",-37.81517708,144.9647713,$27.50 ,Café
Tsujiri,"Japanese, Desserts, Coffee and Tea",3.6,CBD,"146 Swanston Street, CBD, Melbourne",CBD,-37.81427812,144.9660477,$7.50 ,Café
Dari Korean Cafe and Bar,"Cafe Food, Korean",4.1,CBD,"27-29 Hardware Lane, CBD, Melbourne",CBD,-37.81403126,144.96139,$22.50 ,Café
Brunetti,"Desserts, Coffee and Tea, Cafe Food",4.3,CBD,"250 Flinders Lane, CBD, Melbourne",CBD,-37.81676069,144.9657828,$20.00 ,Café
Brown Bagels,"Sandwich, Coffee and Tea, Cafe Food",4.3,CBD,"25 Equitable Place, CBD, Melbourne",CBD,-37.81585063,144.963178,$15.00 ,Café
