name,cuisine,overall_rating,latitude,longitude,feature,type,address,average_for_one
GJ's Grill,"Asian, Filipino",4.2,-37.80979561,144.9568222,Asian,normal,"Shop 2, 243 Franklin Street, CBD, Melbourne",$20.00
YOI,"Asian, Indonesian",4.1,-37.8088195,144.9593857,Asian,normal,"1/155 Franklin Street, CBD, Melbourne",$17.50
Bangkok Jam,"Thai, Asian",4.1,-37.81139629,144.969274,Asian,normal,"107 Little Bourke Street, CBD, Melbourne",$47.50
Grandma's Noodles,"Asian, Chinese",4,-37.81164183,144.9682518,Asian,normal,"150 Little Bourke Street, CBD, Melbourne",$17.50
Shakahari Vegetarian,"Vegetarian, Fusion, Asian",4.4,-37.79887889,144.9679299,Asian,normal,"203 Faraday Street, Carlton, Melbourne",$35.00
Captain Melville,"Modern Australian, Fusion, Asian",4.3,-37.80767252,144.9616817,Asian,normal,"34 Franklin Street, CBD, Melbourne",$40.00
Nam Loong Chinese Restaurant,"Asian, Chinese",4.2,-37.81139603,144.9673348,Asian,normal,"223 Russell Street, CBD, Melbourne",$35.00
Goldilocks Bar,"Asian, Bar Food",3.8,-37.81185427,144.9650972,Asian,normal,"Level 4, 264 Swanston Street, CBD, Melbourne",$40.00
Wonder Bowl,"Asian, Chinese",4.1,-37.8107574,144.9639971,Asian,normal,"Level 1, 267 Little Lonsdale Street, CBD, Melbourne",$25.00
By Korea,"Korean, Asian",4.1,-37.81210669,144.9656762,Asian,normal,"7 Tattersalls Lane, CBD, Melbourne",$25.00
RuYi Modern Chinese,"Chinese, Contemporary, Asian",4.1,-37.81121962,144.9714912,Asian,normal,"16 Liverpool Street, Melbourne CBD",$60.00
Yang 89,"Korean, Korean BBQ, Asian, Chinese",4.2,-37.81566602,144.9552893,Asian,normal,"189, King Street, CBD, Melbourne",$40.00
Golden Monkey,"Asian, Chinese",4.2,-37.81296701,144.9609773,Asian,normal,"389 Lonsdale Street, CBD, Melbourne",$42.50
Shanghai Dragon Dumpling House,"Asian, Chinese",4,-37.81248282,144.96783,Asian,normal,"163 Russell Street, CBD, Melbourne",$25.00
HongKongBoi,"Asian, Desserts, Ice Cream",3.9,-37.80874957,144.9593421,Asian,normal,"Shop 2/155 Franklin Street, CBD, Melbourne",$17.50
Rice Paper Vietnamese Restaurant,"Asian, Vietnamese",3.8,-37.81227383,144.96496,Asian,normal,"245 Swanston Street, CBD, Melbourne",$32.50
Tian 38,"Chinese, Asian",4,-37.81768293,144.9627127,Asian,normal,"350 Flinders Lane, CBD, Melbourne",$50.00
Seven Star Pocha,"Korean, Asian",3.6,-37.81343928,144.9558352,Asian,normal,"8 Healeys Lane, CBD",$35.00
Gyoza Gyoza - Emporium,"Asian, Japanese",4.2,-37.8127167,144.9639743,Asian,normal,"Emporium Melbourne, Level 1, 287 Lonsdale Street, CBD, Melbourne",$25.00
Shophouse Kitchen,"Asian, Chinese",3,-37.81076932,144.9654817,Asian,normal,"QV Centre, Level 2, Corner of Lonsdale Street and Swanston Street, CBD, Melbourne",$22.50
Your Thai Rice and Noodle Bar,"Thai, Asian",3.5,-37.81214722,144.9648947,Asian,normal,"255 Swanston Street, CBD, Melbourne",$22.50
Co Hanh,"Vietnamese, Asian",3.9,-37.81772822,144.9625474,Asian,normal,"348 Flinders Lane, CBD, Melbourne",$40.00
Don Tojo,"Japanese, Asian",4.3,-37.80138927,144.9654988,Asian,normal,"164 Cardigan Street, Carlton, Melbourne",$15.00
Qipo Skewer Bar,"Hot Pot, Chinese, Asian",4,-37.81142649,144.9610105,Asian,normal,"Level 1/280, Little Lonsdale Street, CBD, Melbourne",$40.00
Rising Embers by Dainty Sichuan,"Chinese, BBQ, Sichuan, Asian",4.1,-37.81170964,144.9683182,Asian,normal,"Level 1, 139 Little Bourke Street, CBD, Melbourne",$50.00
New Quay Waterfront Buffet,"Asian, Seafood",3.8,-37.81397696,144.9441867,Asian,normal,"New Quay, 4-6 Newquay Promenade, Docklands, Melbourne",$75.00
Ants Bistro,"Asian, Chinese",4.3,-37.8113555,144.9683332,Asian,normal,"7 Corrs Lane, CBD, Melbourne",$37.50
Killiney Kopitiam Bourke Street,"Asian, Malaysian",3.5,-37.81216523,144.9701789,Asian,normal,"Shop 11, 108 Bourke Street, CBD, Melbourne",$20.00
Dolan Uyghur Food Heaven,"Asian, Uyghur",4,-37.8097519,144.9670384,Asian,normal,"166 Little Lonsdale Street, CBD, Melbourne",$30.00
Red Emperor,"Asian, Chinese, Yum Cha",4.2,-37.8201834,144.966457,Asian,normal,"Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne",$70.00
Rock Sugar,"Fusion, Asian, Thai",4.2,-37.84791145,145.0023738,Asian,normal,"477 Malvern Road, South Yarra, Melbourne",$40.00
Hana's Kitchen,Asian,3.8,-37.81334074,144.9623751,Asian,normal,"344 Little Bourke Street, CBD, Melbourne",$25.00
D House Cafe,"Asian, Chinese",3.7,-37.81086017,144.9642908,Asian,normal,"313 Swanston Street, CBD, Melbourne",$20.00
Quanjude,"Chinese, Asian, Seafood",3.8,-37.8113261,144.9588741,Asian,normal,"299 Queen Street, CBD, Melbourne",$60.00
Nasi Lemak House,"Malaysian, Asian",4.1,-37.80070473,144.9656933,Asian,normal,"115 Grattan Street, Carlton, Melbourne",$17.50
Busan,"Korean, Asian, Hot Pot",3.8,-37.81467436,144.9603859,Asian,normal,"179 Queen Street, CBD, Melbourne",$22.50
China Chilli,"Chinese, Asian, Hot Pot, Dumplings, Sichuan",3.9,-37.81274769,144.9669361,Asian,normal,"Village Centre Arcade, Level 1, Shop, 206 Bourke Street, CBD, Melbourne",$40.00
David's Spicy Pot - Russell Street,"Malatang, Chinese, Asian",4.3,-37.81239912,144.9680422,Asian,normal,"166 Russell Street, CBD, Melbourne",$30.00
Killiney Kopitiam,"Asian, Singaporean, Malaysian",3.9,-37.80438778,144.9664748,Asian,normal,"114 Lygon Street, Carlton, Melbourne",$25.00
Annam,"Asian, Vietnamese",3.8,-37.81086732,144.9707958,Asian,normal,"56 Little Bourke Street, CBD, Melbourne",$70.00
Westlake,"Chinese, Yum Cha, Asian",3.7,-37.81208683,144.966905,Asian,normal,"189 Little Bourke Street, CBD, Melbourne",$40.00
Wagyu Fun,Asian,3.9,-37.81390969,144.9668473,Asian,normal,"Tivoli Arcade, Shop 26, 235-251 Bourke Street, CBD, Melbourne",$27.50
Peaches,"Bar Food, Asian, American",3.4,-37.81112373,144.9643562,Asian,normal,"Level 2, 301 Swanston Street, CBD, Melbourne",$35.00
Ilza Cafe,"Japanese, Coffee and Tea, Asian",4.1,-37.81517708,144.9479609,Asian,normal,"Marvel Stadium Gate 6, 103/673 La Trobe Street, Docklands, Melbourne",$20.00
Cooking Corner,"Chinese, Asian",4,-37.81502187,144.9563397,Asian,normal,"542 Little Bourke Street, CBD, Melbourne",$45.00
Rose Garden BBQ,"Chinese, BBQ",4.5,-37.80881102,144.9604657,BBQ,normal,"435 Elizabeth Street, CBD, Melbourne",$20.00
The Meat & Wine Co,"BBQ, Steak, Modern Australian",4.4,-37.82150869,144.9620166,BBQ,normal,"3 Freshwater Place, Southbank, Melbourne",$80.00
Meatmaiden,"BBQ, Steak",4.4,-37.81412158,144.9677804,BBQ,normal,"195 Little Collins Street, CBD, Melbourne",$60.00
Mjolner,"Modern Australian, BBQ",4.4,-37.81205716,144.9605672,BBQ,normal,"Ground Floor, 106 Hardware Street, CBD",$70.00
B'Churrasco,"BBQ, Brazilian, Steak",4.4,-37.80907803,144.9616311,BBQ,normal,"61 A'Beckett Street, CBD, Melbourne",$60.00
Squires Loft City Grill Room,"BBQ, South African",4.4,-37.81329466,144.9561624,BBQ,normal,"535 Little Lonsdale Street, CBD, Melbourne",$70.00
Third Wave Cafe,"American, BBQ, Cafe Food",4.4,-37.84171079,144.9385899,BBQ,normal,"189 Rouse Street, Port Melbourne, Melbourne",$60.00
Fancy Hank's,"American, BBQ",3.9,-37.81205478,144.9711137,BBQ,normal,"Level 1, 79 Bourke Street, CBD, Melbourne",$45.00
San Antone by Bludso's BBQ,"American, BBQ",3.8,-37.82414197,144.9576782,BBQ,normal,"Crown Melbourne, Level 1, 8 Whiteman Street, Southbank, Melbourne",$40.00
Pacific BBQ House,"BBQ, Chinese, Seafood",3.5,-37.81134702,144.9659578,BBQ,normal,"213 Lonsdale Street, CBD, Melbourne",$32.50
Asado,"Argentine, BBQ, Spanish",4.2,-37.82089769,144.9641986,BBQ,normal,"6 Riverside Quay, Southbank, Melbourne",$65.00
Ludlow Bar & Dining Room,"BBQ, European",3.7,-37.82063046,144.9639656,BBQ,normal,"6 Riverside Quay, Southbank, Melbourne",$55.00
Pacific Seafood BBQ House,"BBQ, Chinese, Seafood",4.3,-37.83940487,144.9940358,BBQ,normal,"210 Toorak Road, South Yarra, Melbourne",$30.00
The Grand BBQ,"Chinese, BBQ",4.1,-37.81296356,144.9662549,BBQ,normal,"Target Centre, 222 Bourke Street, CBD, Melbourne",$20.00
Chef David,"Chinese, Hot Pot, Asian, BBQ, Cabinet Food",4.1,-37.80785,144.960397,BBQ,normal,"Level 1, 462 Elizabeth Street, CBD, Melbourne",$60.00
Hell's Kitchen,"BBQ, American",4,-37.81655675,144.9655391,BBQ,normal,"20 Centre Place, CBD, Melbourne",$25.00
Ten BBQ & Hotpot Buffet,"Hot Pot, BBQ, Asian",3.7,-37.82347989,144.9632149,BBQ,normal,"143 City Road, Southbank, Melbourne",$50.00
Mansae Korean BBQ & Bar,"Korean, Korean BBQ",4.5,-37.80956304,144.9596073,BBQ,normal,"120 A'Beckett Street, CBD, Melbourne",$50.00
Pick-A-Stick by Dainty Sichuan,"Asian, BBQ, Chinese",3.8,-37.81071449,144.9624029,BBQ,normal,"Melbourne Central, ELLA Dining Precinct, Corner of Elizabeth and La Trobe Street, CBD, Melbourne",$15.00
Minh Xuong Seafood & BBQ,"Chinese, BBQ",3.2,-37.81165322,144.9674293,BBQ,normal,"209 Russell Street, CBD, Melbourne",$20.00
Wagyu One,"Japanese, Japanese BBQ",4.3,-37.81230456,144.9697002,BBQ,normal,"122 Bourke Street, CBD, Melbourne",$60.00
New Kum Den BBQ,"Chinese, BBQ, Cantonese",3.5,-37.81168395,144.9671229,BBQ,normal,"7-9 Waratah Place, CBD, Melbourne",$35.00
Parrot Seafood BBQ House,"BBQ, Chinese, Seafood",3.9,-37.78849578,144.9313412,BBQ,normal,"293 Racecourse Road, Flemington, Melbourne",$40.00
Rice Paper Scissors,"Asian Fusion, Tapas",4.8,-37.814313,144.961402,BBQ,normal,"15 Hardware Lane, CBD, Melbourne",$40.00
G2 Korean BBQ,"Korean BBQ, Korean",4,-37.81158462,144.9618232,BBQ,normal,"301 Elizabeth Street, CBD, Melbourne",$45.00
Nana Thai Style Hotpot & BBQ,"Thai, BBQ, Hot Pot",3.5,-37.81271087,144.9685803,BBQ,normal,"169 Bourke Street, CBD, Melbourne",$0.00
Paik's BBQ ,"Korean BBQ, Korean",4.2,-37.81295668,144.9562734,BBQ,normal,"525 Little Lonsdale Street, Lonsdale Street, CBD, Melbourne",$40.00
Melbourne Dae Jang Geum Korean BBQ,"Korean BBQ, Korean",4,-37.81241686,144.9657925,BBQ,normal,"235 Little Bourke Street, CBD, Melbourne",$40.00
Chin Chin,"Thai, Asian Fusion",4.6,-37.81556458,144.9703757,BBQ,normal,"125 Flinders Lane, CBD, Melbourne",$67.50
Tao's Asian BBQ Kitchen CBD,"Asian, BBQ",3.8,-37.81305389,144.9556689,BBQ,normal,"466-468 Little Lonsdale Street, CBD",$30.00
Khabbay Restaurant,"Indian, Pakistani, BBQ",4,-37.79008209,144.9716575,BBQ,normal,"645 Rathdowne Street, Carlton North, Melbourne",$25.00
No. 1 Delicious Hot Pot & BBQ,"Chinese, Hot Pot, BBQ",3.7,-37.80565666,144.9629393,BBQ,normal,"551 Swanston Street, Carlton, Melbourne",$30.00
ChangGo,"Korean BBQ, Korean",4.5,-37.80954264,144.961783,BBQ,normal,"70 Little La Trobe Street, CBD, Melbourne",$35.00
Tetsujin,"Sushi, Japanese, Japanese BBQ",4.2,-37.81224946,144.9643441,BBQ,normal,"Emporium Melbourne, Level 4, 287 Lonsdale Street, CBD, Melbourne",$75.00
Maha Restaurant,Middle Eastern,4.7,-37.81816682,144.9626845,BBQ,normal,"21 Bond Street, CBD, Melbourne",$150.00
Smokestak,"American, BBQ, Sandwich",2.9,-37.81596373,144.9608864,BBQ,normal,"408 Little Collins Street, CBD, Melbourne",$17.50
Panda BBQ Restaurant Bar,"Chinese, BBQ",3.6,-37.81288543,144.9671135,BBQ,normal,"Level 2, 202 Bourke Street, CBD, Melbourne",$35.00
Asian BBQ House,"Asian, BBQ, Chinese",3.2,-37.80895062,144.9689636,BBQ,normal,"Level 1, 295 Exhibition Street, CBD, Melbourne",$25.00
Famous Hotpot & BBQ,"Chinese, Hot Pot",3.8,-37.8114641,144.9690729,BBQ,normal,"113 Little Bourke Street, CBD, Melbourne",$40.00
Hawker Chan,Chinese,3.5,-37.81079395,144.9678384,BBQ,normal,"157 Lonsdale Street, CBD, Melbourne",$25.00
Meat the Challenge,"American, BBQ",3.1,-37.8151355,144.9647257,BBQ,normal,"St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne",$25.00
Zen Charcoal BBQ,"Korean, Korean BBQ, Japanese BBQ, Hot Pot",4.3,-37.83987856,144.9977286,BBQ,normal,"306 Toorak Road, South Yarra, Melbourne",$40.00
BBQ Brothers 10,"Korean, Korean BBQ",4.1,-37.80454222,144.9583829,BBQ,normal,"589 Elizabeth Street, CBD, Melbourne",$50.00
Saint Dreux,"Japanese, Sandwich, Coffee and Tea",4.1,-37.81517708,144.9647713,BBQ,normal,"St Collins Lane, Level 2, 260 Collins Street, CBD, Melbourne",$27.50
OhGam Korean BBQ Buffet,"Korean BBQ, Korean",3.5,-37.81065542,144.9682347,BBQ,normal,"Shop 1, 139 Lonsdale Street, CBD, Melbourne",$40.00
Hallah,"Korean BBQ, Korean",4.1,-37.80593295,144.9575172,BBQ,normal,"268 Victoria Street, North Melbourne, Melbourne",$30.00
Queen Street Rescue,"Modern Australian, Cafe Food",4.2,-37.81425057,144.9602028,BBQ,normal,"Shop 1, 189 Queen Street, CBD, Melbourne",$47.50
SamSam,Korean,4,-37.81288543,144.9652101,BBQ,normal,"209 Swanston Street, CBD, Melbourne",$30.00
B'cos,"Brazilian, Salad",4.2,-37.8155463,144.9630148,BBQ,normal,"4 Equitable Place, CBD, Melbourne",$22.50
Soolzip Korean BBQ,"Korean BBQ, Korean",4.1,-37.80596501,144.9555783,BBQ,normal,"179-181 Victoria Street, West Melbourne, Melbourne",$35.00
Seorae Galmaegi,"Korean, Korean BBQ",3.9,-37.81058019,144.9661995,BBQ,normal,"QV Centre, Level 2, 26-28 Artemis Lane, CBD, Melbourne",$40.00
Manchester Press,"Coffee and Tea, Cafe Food",4.4,-37.81390995,144.9621769,Brunch,normal,"8 Rankins Lane, CBD, Melbourne",$20.00
The Hardware Societe,"French, Cafe Food, Coffee and Tea",4.6,-37.81203173,144.9604677,Brunch,normal,"123 Hardware Street, CBD, Melbourne",$30.00
Brick Lane,"Cafe Food, Coffee and Tea",4.5,-37.81140132,144.9598075,Brunch,normal,"33 Guildford Lane, CBD, Melbourne",$25.00
White Mojo Speciality Coffee & Roaster,"Cafe Food, Fusion, Coffee and Tea",4.2,-37.81216629,144.9605267,Brunch,normal,"115 Hardware Street, CBD, Melbourne",$27.50
Hash Specialty Coffee,"Coffee and Tea, Cafe Food",4.2,-37.81232495,144.9605967,Brunch,normal,"113 Hardware Street, CBD, Melbourne",$25.00
Humble Rays,"Coffee and Tea, Cafe Food, Asian Fusion",4.8,-37.80481772,144.9615536,Brunch,normal,"71 Bouverie Street, Carlton, Melbourne",$25.00
Operator25,"Coffee and Tea, Cafe Food",4.3,-37.81061039,144.9571015,Brunch,normal,"25 Wills Street, CBD",$27.50
Higher Ground,"Cafe Food, Coffee and Tea",4.2,-37.81597088,144.953048,Brunch,normal,"650 Little Bourke Street, CBD, Melbourne",$30.00
The Grain Store,"European, Coffee and Tea, Cafe Food",4.5,-37.81971462,144.9566187,Brunch,normal,"517 Flinders Lane, CBD, Melbourne",$35.00
Bowery to Williamsburg,"American, Coffee and Tea, Cafe Food",4.4,-37.81626646,144.9702634,Brunch,normal,"16 Oliver Lane, CBD, Melbourne",$25.00
Captains of Industry,"Sandwich, Coffee and Tea, Cafe Food",4.4,-37.81363104,144.9625474,Brunch,normal,"Level 1, 2 Somerset Place, CBD, Melbourne",$22.50
Seven Seeds,"Coffee and Tea, Cafe Food",4.4,-37.80294007,144.9590374,Brunch,normal,"114 Berkeley Street, Carlton, Melbourne",$25.00
Roule Galette,"Coffee and Tea, Crepes, Cafe Food",4.5,-37.81680307,144.9662921,Brunch,normal,"241 Flinders Lane, CBD, Melbourne",$20.00
Drumplings,"Chinese, Asian Fusion, Dumplings",3.8,-37.81324168,144.9669097,Brunch,normal,"227 Bourke Street, CBD, Melbourne",$40.00
Kinfolk,"Cafe Food, Coffee and Tea",4.5,-37.81692544,144.9539948,Brunch,normal,"673 Bourke Street, CBD, Melbourne",$25.00
No35,"Contemporary, European, French",4.4,-37.81417774,144.9728672,Brunch,normal,"Sofitel Melbourne On Collins, Level 35, 25 Collins Street, CBD, Melbourne",$100.00
The League of Honest Coffee,"Coffee and Tea, Cafe Food",4.5,-37.80930345,144.9684888,Brunch,normal,"8 Exploration Lane, CBD, Melbourne",$15.00
Krimper,"Coffee and Tea, Cafe Food",4.2,-37.81123922,144.960186,Brunch,normal,"20-24 Guildford Lane, CBD, Melbourne",$27.50
Beatrix,"Coffee and Tea, Bakery",4.9,-37.80236733,144.9444753,Brunch,normal,"688 Queensberry Street, North Melbourne, Melbourne",$15.00
Vertue Coffee Roasters,"Coffee and Tea, Cafe Food",4.6,-37.79768884,144.9683121,Brunch,normal,"8 Raffa Place, Carlton, Melbourne",$25.00
Auction Rooms,"Coffee and Tea, Cafe Food",4.4,-37.8025223,144.9495608,Brunch,normal,"103-107 Errol Street, North Melbourne, Melbourne",$25.00
Jungle Juice,"Coffee and Tea, Cafe Food",4.5,-37.81655198,144.9655347,Brunch,normal,"20 Centre Place, CBD, Melbourne",$25.00
Roasting Warehouse,"Coffee and Tea, Cafe Food, Modern Australian",4.5,-37.80448818,144.9507266,Brunch,normal,"19-21 Leveson Street, North Melbourne, Melbourne",$25.00
Flovie Florist Cafe,"Modern Australian, Asian Fusion, Cafe Food",4.2,-37.80434301,144.9599306,Brunch,normal,"261-263 Queensberry, Carlton, Melbourne",$25.00
Billy's Central,"Coffee and Tea, Cafe Food",4.1,-37.81174249,144.96352,Brunch,normal,"Melbourne Central, Level 2, Corner of Swanston Street and La Trobe Street, 221 La Trobe Street, CBD, Melbourne",$25.00
Cartel Coffee Roasters,"Sandwich, Coffee and Tea, Cafe Food",4.2,-37.81385565,144.9625306,Brunch,normal,"19, Somerset Place, CBD",$20.00
